,frame.time,count_First,count_Last,count_CumSum
1,2024-01-11 11:05:00+01:00,11,1.0,26.0
2,2024-01-11 11:10:00+01:00,3,0.0,29.0
3,2024-01-11 11:15:00+01:00,8,1.0,36.0
4,2024-01-11 11:20:00+01:00,16,3.0,49.0
5,2024-01-11 11:25:00+01:00,8,1.0,56.0
6,2024-01-11 11:30:00+01:00,25,4.0,77.0
7,2024-01-11 11:35:00+01:00,35,13.0,99.0
8,2024-01-11 11:40:00+01:00,33,26.0,106.0
9,2024-01-11 11:45:00+01:00,47,17.0,136.0
10,2024-01-11 11:50:00+01:00,69,26.0,179.0
11,2024-01-11 11:55:00+01:00,97,38.0,238.0
12,2024-01-11 12:00:00+01:00,153,72.0,319.0
13,2024-01-11 12:05:00+01:00,104,82.0,341.0
14,2024-01-11 12:10:00+01:00,72,61.0,352.0
15,2024-01-11 12:15:00+01:00,45,97.0,300.0
16,2024-01-11 12:20:00+01:00,48,23.0,325.0
17,2024-01-11 12:25:00+01:00,100,96.0,329.0
18,2024-01-11 12:30:00+01:00,54,81.0,302.0
19,2024-01-11 12:35:00+01:00,73,86.0,289.0
20,2024-01-11 12:40:00+01:00,66,90.0,265.0
21,2024-01-11 12:45:00+01:00,42,63.0,244.0
22,2024-01-11 12:50:00+01:00,44,72.0,216.0
23,2024-01-11 12:55:00+01:00,48,57.0,207.0
24,2024-01-11 13:00:00+01:00,65,70.0,202.0
25,2024-01-11 13:05:00+01:00,58,83.0,177.0
26,2024-01-11 13:10:00+01:00,86,51.0,212.0
27,2024-01-11 13:15:00+01:00,89,74.0,227.0
28,2024-01-11 13:20:00+01:00,57,48.0,236.0
29,2024-01-11 13:25:00+01:00,61,57.0,240.0
30,2024-01-11 13:30:00+01:00,70,69.0,241.0
31,2024-01-11 13:35:00+01:00,75,75.0,241.0
32,2024-01-11 13:40:00+01:00,73,99.0,215.0
33,2024-01-11 13:45:00+01:00,56,75.0,196.0
34,2024-01-11 13:50:00+01:00,62,70.0,188.0
35,2024-01-11 13:55:00+01:00,55,120.0,123.0
36,2024-01-11 14:00:00+01:00,23,146.0,0.0
